,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2019-01-01,1,2019,1,5.9,-11.6,-2.9,20.9,0.0,0.0,0.0,0.0
1,-114.01,51.12,CALGARY INTL A,3031092,2019-01-02,2,2019,2,11.1,4.9,8.0,10.0,0.0,0.0,0.0,0.0
2,-114.01,51.12,CALGARY INTL A,3031092,2019-01-03,3,2019,3,9.7,-0.6,4.6,13.4,0.0,0.0,0.0,0.0
3,-114.01,51.12,CALGARY INTL A,3031092,2019-01-04,4,2019,4,9.4,-6.2,1.6,16.4,0.0,0.0,0.0,0.0
4,-114.01,51.12,CALGARY INTL A,3031092,2019-01-05,5,2019,5,-4.5,-9.5,-7.0,25.0,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2019-01-06,6,2019,6,5.7,-7.1,-0.7,18.7,0.0,0.0,0.0,0.0
6,-114.01,51.12,CALGARY INTL A,3031092,2019-01-07,7,2019,7,-5.7,-11.9,-8.8,26.8,0.0,0.0,0.0,0.0
7,-114.01,51.12,CALGARY INTL A,3031092,2019-01-08,8,2019,8,-6.3,-14.2,-10.3,28.3,0.0,0.0,0.0,0.0
8,-114.01,51.12,CALGARY INTL A,3031092,2019-01-09,9,2019,9,-4.5,-10.7,-7.6,25.6,0.0,0.0,0.0,0.0
9,-114.01,51.12,CALGARY INTL A,3031092,2019-01-10,10,2019,10,9.8,-10.8,-0.5,18.5,0.0,0.0,0.0,0.0
10,-114.01,51.12,CALGARY INTL A,3031092,2019-01-11,11,2019,11,8.0,-10.0,-1.0,19.0,0.0,0.0,0.0,0.0
11,-114.01,51.12,CALGARY INTL A,3031092,2019-01-12,12,2019,12,9.6,-3.6,3.0,15.0,0.0,0.0,0.0,0.0
12,-114.01,51.12,CALGARY INTL A,3031092,2019-01-13,13,2019,13,9.8,-5.6,2.1,15.9,0.0,0.0,0.0,0.0
13,-114.01,51.12,CALGARY INTL A,3031092,2019-01-14,14,2019,14,9.9,-6.9,1.5,16.5,0.0,0.0,0.0,0.0
14,-114.01,51.12,CALGARY INTL A,3031092,2019-01-15,15,2019,15,-2.8,-9.4,-6.1,24.1,0.0,0.0,0.0,0.0
15,-114.01,51.12,CALGARY INTL A,3031092,2019-01-16,16,2019,16,-5.4,-8.0,-6.7,24.7,0.0,0.0,3.0,2.6
16,-114.01,51.12,CALGARY INTL A,3031092,2019-01-17,17,2019,17,-8.0,-16.7,-12.4,30.4,0.0,0.0,4.8,2.9
17,-114.01,51.12,CALGARY INTL A,3031092,2019-01-18,18,2019,18,-13.7,-17.4,-15.6,33.6,0.0,0.0,0.0,0.0
18,-114.01,51.12,CALGARY INTL A,3031092,2019-01-19,19,2019,19,4.9,-18.3,-6.7,24.7,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2019-01-20,20,2019,20,2.5,-10.1,-3.8,21.8,0.0,0.0,0.0,0.0
20,-114.01,51.12,CALGARY INTL A,3031092,2019-01-21,21,2019,21,-0.5,-9.2,-4.9,22.9,0.0,0.0,0.0,0.0
