,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Day_of_Year,Year,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,-114.01,51.12,CALGARY INTL A,3031092,2015-01-01,1,2015,1,1.1,-6.1,-2.5,20.5,0.0,0.0,0.0,0.0
1,-114.01,51.12,CALGARY INTL A,3031092,2015-01-02,2,2015,2,-3.4,-18.2,-10.8,28.8,0.0,0.0,5.0,4.2
2,-114.01,51.12,CALGARY INTL A,3031092,2015-01-03,3,2015,3,-18.1,-21.1,-19.6,37.6,0.0,0.0,1.6,0.6
3,-114.01,51.12,CALGARY INTL A,3031092,2015-01-04,4,2015,4,-18.4,-25.3,-21.9,39.9,0.0,0.0,2.0,1.8
4,-114.01,51.12,CALGARY INTL A,3031092,2015-01-05,5,2015,5,-13.2,-20.1,-16.7,34.7,0.0,0.0,0.0,0.0
5,-114.01,51.12,CALGARY INTL A,3031092,2015-01-06,6,2015,6,-13.5,-15.6,-14.6,32.6,0.0,0.6,11.2,11.4
6,-114.01,51.12,CALGARY INTL A,3031092,2015-01-07,7,2015,7,8.1,-15.2,-3.6,21.6,0.0,0.0,0.2,0.2
7,-114.01,51.12,CALGARY INTL A,3031092,2015-01-08,8,2015,8,-2.2,-19.4,-10.8,28.8,0.0,0.0,0.8,0.8
8,-114.01,51.12,CALGARY INTL A,3031092,2015-01-09,9,2015,9,-1.8,-23.8,-12.8,30.8,0.0,0.0,0.0,0.0
9,-114.01,51.12,CALGARY INTL A,3031092,2015-01-10,10,2015,10,-1.5,-12.2,-6.9,24.9,0.0,0.0,5.8,5.8
10,-114.01,51.12,CALGARY INTL A,3031092,2015-01-11,11,2015,11,-6.5,-19.2,-12.9,30.9,0.0,0.0,1.6,1.6
11,-114.01,51.12,CALGARY INTL A,3031092,2015-01-12,12,2015,12,-2.4,-20.8,-11.6,29.6,0.0,0.0,0.0,0.0
12,-114.01,51.12,CALGARY INTL A,3031092,2015-01-13,13,2015,13,3.8,-9.9,-3.1,21.1,0.0,0.0,0.0,0.0
13,-114.01,51.12,CALGARY INTL A,3031092,2015-01-14,14,2015,14,9.8,-0.5,4.7,13.3,0.0,0.0,0.0,0.0
14,-114.01,51.12,CALGARY INTL A,3031092,2015-01-15,15,2015,15,9.2,-1.7,3.8,14.2,0.0,0.0,0.0,0.0
15,-114.01,51.12,CALGARY INTL A,3031092,2015-01-16,16,2015,16,6.7,2.2,4.5,13.5,0.0,0.0,0.0,0.0
16,-114.01,51.12,CALGARY INTL A,3031092,2015-01-17,17,2015,17,7.6,-0.4,3.6,14.4,0.0,0.0,0.0,0.0
17,-114.01,51.12,CALGARY INTL A,3031092,2015-01-18,18,2015,18,6.9,-4.8,1.1,16.9,0.0,0.2,1.4,1.4
18,-114.01,51.12,CALGARY INTL A,3031092,2015-01-19,19,2015,19,5.9,1.6,3.8,14.2,0.0,0.0,0.0,0.0
19,-114.01,51.12,CALGARY INTL A,3031092,2015-01-20,20,2015,20,3.6,-4.1,-0.3,18.3,0.0,0.0,0.0,0.0
20,-114.01,51.12,CALGARY INTL A,3031092,2015-01-21,21,2015,21,8.9,-9.2,-0.2,18.2,0.0,0.0,0.0,0.0
21,-114.01,51.12,CALGARY INTL A,3031092,2015-01-22,22,2015,22,9.6,6.1,7.9,10.1,0.0,0.0,0.0,0.0
22,-114.01,51.12,CALGARY INTL A,3031092,2015-01-23,23,2015,23,11.8,2.7,7.3,10.7,0.0,0.0,0.0,0.0
23,-114.01,51.12,CALGARY INTL A,3031092,2015-01-24,24,2015,24,11.0,2.1,6.6,11.4,0.0,0.0,0.0,0.0
24,-114.01,51.12,CALGARY INTL A,3031092,2015-01-25,25,2015,25,17.2,0.6,8.9,9.1,0.0,0.0,0.0,0.0
25,-114.01,51.12,CALGARY INTL A,3031092,2015-01-26,26,2015,26,12.3,1.0,6.7,11.3,0.0,0.0,0.0,0.0
26,-114.01,51.12,CALGARY INTL A,3031092,2015-01-27,27,2015,27,14.4,-0.7,6.9,11.1,0.0,0.0,0.0,0.0
27,-114.01,51.12,CALGARY INTL A,3031092,2015-01-28,28,2015,28,5.6,-2.3,1.7,16.3,0.0,0.0,0.0,0.0
28,-114.01,51.12,CALGARY INTL A,3031092,2015-01-29,29,2015,29,7.8,-5.4,1.2,16.8,0.0,0.0,0.0,0.0
29,-114.01,51.12,CALGARY INTL A,3031092,2015-01-30,30,2015,30,4.0,-6.4,-1.2,19.2,0.0,0.0,0.0,0.0
30,-114.01,51.12,CALGARY INTL A,3031092,2015-01-31,31,2015,31,-5.5,-17.3,-11.4,29.4,0.0,0.0,5.0,5.0
31,-114.01,51.12,CALGARY INTL A,3031092,2015-02-01,32,2015,1,-6.5,-17.8,-12.2,30.2,0.0,0.0,0.0,0.0
32,-114.01,51.12,CALGARY INTL A,3031092,2015-02-02,33,2015,2,-12.7,-15.3,-14.0,32.0,0.0,0.0,1.6,1.6
33,-114.01,51.12,CALGARY INTL A,3031092,2015-02-03,34,2015,3,-11.3,-19.8,-15.6,33.6,0.0,0.0,0.3,0.3
34,-114.01,51.12,CALGARY INTL A,3031092,2015-02-04,35,2015,4,5.5,-16.8,-5.7,23.7,0.0,0.0,0.0,0.0
35,-114.01,51.12,CALGARY INTL A,3031092,2015-02-05,36,2015,5,0.3,-14.5,-7.1,25.1,0.0,0.0,1.8,0.8
36,-114.01,51.12,CALGARY INTL A,3031092,2015-02-06,37,2015,6,-12.1,-15.1,-13.6,31.6,0.0,0.0,1.4,0.5
37,-114.01,51.12,CALGARY INTL A,3031092,2015-02-07,38,2015,7,9.6,-15.3,-2.9,20.9,0.0,0.0,0.0,0.0
38,-114.01,51.12,CALGARY INTL A,3031092,2015-02-08,39,2015,8,4.1,-15.1,-5.5,23.5,0.0,0.0,0.0,0.0
39,-114.01,51.12,CALGARY INTL A,3031092,2015-02-09,40,2015,9,-10.5,-15.4,-13.0,31.0,0.0,0.0,0.0,0.0
40,-114.01,51.12,CALGARY INTL A,3031092,2015-02-10,41,2015,10,-6.9,-12.7,-9.8,27.8,0.0,0.0,0.4,0.4
41,-114.01,51.12,CALGARY INTL A,3031092,2015-02-11,42,2015,11,-7.1,-11.1,-9.1,27.1,0.0,0.0,0.4,0.2
42,-114.01,51.12,CALGARY INTL A,3031092,2015-02-12,43,2015,12,12.7,-7.1,2.8,15.2,0.0,0.0,0.0,0.0
