Sample Date,IRON DISSOLVED,OXYGEN DISSOLVED (FIELD METER),PH (FIELD),TEMPERATURE WATER,TURBIDITY,ZINC DISSOLVED,Day_of_Year,Day
1/20/2014,0.06,13.56,7.98,-0.03,3.1,1.43,20,20
1/21/2014,0.06,13.554627,7.97814929,-0.202312133,3.403105779,1.484332467,21,21
1/22/2014,0.06,13.54252532,7.979390687,-0.366396994,3.667098451,1.480835191,22,22
1/23/2014,0.06,13.53044765,7.980629761,-0.529686355,3.930075038,1.477340588,23,23
1/24/2014,0.06,13.51839398,7.981866512,-0.692181514,4.192036924,1.473848667,24,24
1/25/2014,0.06,13.50636428,7.983100942,-0.85388377,4.452985492,1.470359435,25,25
1/26/2014,0.06,13.49435853,7.984333054,-1.01479442,4.712922126,1.466872901,26,26
1/27/2014,0.06,13.48237672,7.985562849,-1.174914764,4.971848208,1.463389072,27,27
1/28/2014,0.06,13.47041882,7.986790328,-1.3342461,5.229765121,1.459907955,28,28
1/29/2014,0.06,13.45848483,7.988015494,-1.492789725,5.486674249,1.45642956,29,29
1/30/2014,0.06,13.44657471,7.989238348,-1.650546939,5.742576975,1.452953894,30,30
1/31/2014,0.06,13.43468845,7.990458892,-1.807519039,5.997474681,1.449480964,31,31
2/1/2014,0.06,13.42282604,7.991677129,-1.963707325,6.251368752,1.446010779,32,1
2/2/2014,0.06,13.41098744,7.992893058,-2.119113093,6.50426057,1.442543346,33,2
2/3/2014,0.06,13.39917266,7.994106683,-2.273737643,6.756151519,1.439078674,34,3
2/4/2014,0.06,13.38738165,7.995318006,-2.427582273,7.007042981,1.43561677,35,4
2/5/2014,0.06,13.37561442,7.996527027,-2.580648282,7.25693634,1.432157642,36,5
2/6/2014,0.06,13.36387093,7.997733749,-2.732936967,7.505832979,1.428701299,37,6
2/7/2014,0.06,13.35215117,7.998938173,-2.884449626,7.75373428,1.425247748,38,7
2/8/2014,0.06,13.34045512,8.000140302,-3.03518756,8.000641628,1.421796996,39,8
2/9/2014,0.06,13.32878277,8.001340137,-3.185152064,8.246556406,1.418349052,40,9
2/10/2014,0.06,13.31713409,8.00253768,-3.334344439,8.491479995,1.414903924,41,10
2/11/2014,0.06,13.30550906,8.003732932,-3.482765982,8.735413781,1.41146162,42,11
2/12/2014,0.06,13.29390766,8.004925896,-3.630417991,8.978359145,1.408022147,43,12
2/13/2014,0.06,13.28232988,8.006116573,-3.777301765,9.220317471,1.404585514,44,13
2/14/2014,0.06,13.27077571,8.007304965,-3.923418603,9.461290142,1.401151728,45,14
2/15/2014,0.06,13.25924511,8.008491073,-4.068769802,9.701278542,1.397720797,46,15
2/16/2014,0.06,13.24773807,8.0096749,-4.213356661,9.940284053,1.394292729,47,16
2/17/2014,0.06,13.23625457,8.010856448,-4.357180478,10.17830806,1.390867532,48,17
2/18/2014,0.06,13.22479459,8.012035717,-4.500242552,10.41535194,1.387445214,49,18
2/19/2014,0.06,13.21335812,8.013212711,-4.642544181,10.65141709,1.384025783,50,19
2/20/2014,0.06,13.20194513,8.01438743,-4.784086663,10.88650487,1.380609247,51,20
2/21/2014,0.06,13.19055561,8.015559876,-4.924871296,11.12061669,1.377195613,52,21
2/22/2014,0.06,13.17918954,8.016730051,-5.06489938,11.35375391,1.37378489,53,22
2/23/2014,0.06,13.1678469,8.017897958,-5.204172212,11.58591793,1.370377085,54,23
2/24/2014,0.06,13.15652766,8.019063597,-5.34269109,11.81711013,1.366972206,55,24
2/25/2014,0.06,13.14523182,8.020226971,-5.480457313,12.04733188,1.363570262,56,25
2/26/2014,0.06,13.13395935,8.021388081,-5.617472179,12.27658458,1.36017126,57,26
2/27/2014,0.06,13.12271024,8.022546929,-5.753736987,12.50486961,1.356775208,58,27
2/28/2014,0.06,13.11148446,8.023703517,-5.889253035,12.73218834,1.353382113,59,28
3/1/2014,0.06,13.10028199,8.024857846,-6.024021621,12.95854217,1.349991985,60,1
3/2/2014,0.06,13.08910283,8.026009919,-6.158044043,13.18393247,1.34660483,61,2
3/3/2014,0.06,13.07794694,8.027159737,-6.291321601,13.40836063,1.343220657,62,3
3/4/2014,0.06,13.06681431,8.028307302,-6.423855591,13.63182803,1.339839473,63,4
3/5/2014,0.06,13.05570493,8.029452616,-6.555647313,13.85433606,1.336461286,64,5
3/6/2014,0.06,13.04461876,8.03059568,-6.686698065,14.07588609,1.333086105,65,6
3/7/2014,0.06,13.0335558,8.031736497,-6.817009146,14.29647952,1.329713937,66,7
3/8/2014,0.06,13.02251603,8.032875068,-6.946581852,14.51611772,1.326344791,67,8
3/9/2014,0.06,13.01149942,8.034011394,-7.075417484,14.73480208,1.322978673,68,9
3/10/2014,0.06,13.00050596,8.035145478,-7.203517339,14.95253398,1.319615592,69,10
3/11/2014,0.06,12.98953563,8.036277322,-7.330882715,15.1693148,1.316255556,70,11
3/12/2014,0.06,12.9785884,8.037406926,-7.457514911,15.38514593,1.312898572,71,12
3/13/2014,0.06,12.96766427,8.038534294,-7.583415225,15.60002875,1.309544649,72,13
3/14/2014,0.06,12.95676321,8.039659426,-7.708584956,15.81396465,1.306193795,73,14
3/15/2014,0.06,12.94588521,8.040782325,-7.833025402,16.026955,1.302846017,74,15
3/16/2014,0.06,12.93503024,8.041902992,-7.956737861,16.23900119,1.299501323,75,16
3/17/2014,0.06,12.92419828,8.043021429,-8.079723631,16.4501046,1.296159721,76,17
3/18/2014,0.06,12.91338933,8.044137638,-8.201984012,16.66026662,1.29282122,77,18
3/19/2014,0.06,12.90260335,8.045251621,-8.3235203,16.86948863,1.289485826,78,19
3/20/2014,0.06,12.89184033,8.046363379,-8.444333795,17.07777201,1.286153548,79,20
3/21/2014,0.06,12.88110025,8.047472914,-8.564425795,17.28511815,1.282824394,80,21
3/22/2014,0.06,12.8703831,8.048580228,-8.683797598,17.49152842,1.279498372,81,22
3/23/2014,0.06,12.85968885,8.049685323,-8.802450503,17.69700422,1.276175489,82,23
3/24/2014,0.06,12.84901748,8.0507882,-8.920385807,17.90154692,1.272855754,83,24
3/25/2014,0.06,12.83836898,8.051888862,-9.037604809,18.10515791,1.269539174,84,25
3/26/2014,0.06,12.82774332,8.05298731,-9.154108808,18.30783857,1.266225758,85,26
3/27/2014,0.06,12.8171405,8.054083545,-9.269899102,18.50959028,1.262915512,86,27
3/28/2014,0.06,12.80656048,8.055177571,-9.384976989,18.71041443,1.259608446,87,28
3/29/2014,0.06,12.79600326,8.056269387,-9.499343768,18.91031241,1.256304566,88,29
3/30/2014,0.06,12.78546881,8.057358997,-9.613000736,19.10928558,1.253003882,89,30
3/31/2014,0.06,12.77495711,8.058446401,-9.725949192,19.30733535,1.2497064,90,31
4/1/2014,0.06,12.76446814,8.059531603,-9.838190435,19.50446308,1.246412129,91,1
4/2/2014,0.06,12.75400189,8.060614603,-9.949725763,19.70067017,1.243121076,92,2
4/3/2014,0.06,12.74355834,8.061695403,-10.06055647,19.89595799,1.23983325,93,3
4/4/2014,0.06,12.73313747,8.062774005,-10.17068387,20.09032793,1.236548658,94,4
4/5/2014,0.06,12.72273925,8.063850411,-10.28010924,20.28378138,1.233267308,95,5
4/6/2014,0.06,12.71236368,8.064924623,-10.38883389,20.47631971,1.229989209,96,6
4/7/2014,0.06,12.70201073,8.065996642,-10.49685912,20.66794431,1.226714368,97,7
4/8/2014,0.06,12.69168038,8.06706647,-10.60418622,20.85865657,1.223442792,98,8
4/9/2014,0.06,12.68137262,8.068134109,-10.71081649,21.04845785,1.220174491,99,9
4/10/2014,0.06,12.67108742,8.069199561,-10.81675124,21.23734956,1.216909471,100,10
4/11/2014,0.06,12.66082477,8.070262828,-10.92199175,21.42533307,1.21364774,101,11
4/12/2014,0.06,12.65058465,8.07132391,-11.02653934,21.61240976,1.210389308,102,12
4/13/2014,0.06,12.64036704,8.072382811,-11.13039529,21.79858102,1.20713418,103,13
4/14/2014,0.06,12.63017191,8.073439532,-11.2335609,21.98384824,1.203882367,104,14
4/15/2014,0.06,12.61999926,8.074494074,-11.33603748,22.16821278,1.200633874,105,15
4/16/2014,0.06,12.60984907,8.075546439,-11.43782632,22.35167605,1.19738871,106,16
4/17/2014,0.06,12.5997213,8.07659663,-11.53892872,22.53423941,1.194146884,107,17
4/18/2014,0.06,12.58961596,8.077644648,-11.63934598,22.71590426,1.190908402,108,18
4/19/2014,0.06,12.57953301,8.078690494,-11.7390794,22.89667197,1.187673273,109,19
4/20/2014,0.06,12.56947243,8.079734171,-11.83813026,23.07654394,1.184441505,110,20
4/21/2014,0.06,12.55943422,8.08077568,-11.93649989,23.25552154,1.181213106,111,21
4/22/2014,0.06,12.54941835,8.081815023,-12.03418956,23.43360615,1.177988083,112,22
4/23/2014,0.06,12.5394248,8.082852202,-12.13120058,23.61079916,1.174766444,113,23
4/24/2014,0.06,12.52945355,8.083887219,-12.22753426,23.78710196,1.171548198,114,24
4/25/2014,0.06,12.51950459,8.084920075,-12.32319187,23.96251592,1.168333352,115,25
4/26/2014,0.06,12.50957789,8.085950772,-12.41817474,24.13704243,1.165121915,116,26
4/27/2014,0.06,12.49967344,8.086979312,-12.51248414,24.31068288,1.161913893,117,27
4/28/2014,0.06,12.48979122,8.088005697,-12.60612139,24.48343864,1.158709295,118,28
4/29/2014,0.06,12.4799312,8.089029929,-12.69908778,24.65531109,1.155508129,119,29
4/30/2014,0.06,12.47009338,8.090052008,-12.7913846,24.82630163,1.152310402,120,30
5/1/2014,0.06,12.46027773,8.091071938,-12.88301316,24.99641164,1.149116124,121,1
5/2/2014,0.06,12.45048423,8.092089719,-12.97397476,25.16564249,1.1459253,122,2
5/3/2014,0.06,12.44071286,8.093105355,-13.06427069,25.33399557,1.142737941,123,3
5/4/2014,0.06,12.43096361,8.094118845,-13.15390225,25.50147226,1.139554052,124,4
5/5/2014,0.06,12.42123646,8.095130193,-13.24287074,25.66807396,1.136373643,125,5
5/6/2014,0.06,12.41153139,8.096139399,-13.33117746,25.83380203,1.133196721,126,6
5/7/2014,0.06,12.40184837,8.097146467,-13.41882371,25.99865787,1.130023293,127,7
5/8/2014,0.06,12.39218739,8.098151396,-13.50581078,26.16264285,1.126853369,128,8
5/9/2014,0.06,12.38254844,8.09915419,-13.59213997,26.32575837,1.123686956,129,9
5/10/2014,0.06,12.37293149,8.100154851,-13.67781258,26.4880058,1.120524061,130,10
5/11/2014,0.06,12.36333652,8.101153379,-13.76282992,26.64938652,1.117364693,131,11
5/12/2014,0.06,12.35376352,8.102149776,-13.84719327,26.80990192,1.114208859,132,12
5/13/2014,0.06,12.34421246,8.103144045,-13.93090394,26.96955339,1.111056568,133,13
5/14/2014,0.06,12.33468334,8.104136187,-14.01396322,27.1283423,1.107907827,134,14
5/15/2014,0.06,12.32517612,8.105126204,-14.09637242,27.28627004,1.104762644,135,15
5/16/2014,0.06,12.31569079,8.106114098,-14.17813283,27.44333799,1.101621027,136,16
5/17/2014,0.06,12.30622733,8.10709987,-14.25924574,27.59954754,1.098482984,137,17
5/18/2014,0.06,12.29678573,8.108083523,-14.33971247,27.75490006,1.095348523,138,18
5/19/2014,0.06,12.28736595,8.109065057,-14.4195343,27.90939695,1.092217652,139,19
5/20/2014,0.06,12.277968,8.110044476,-14.49871254,28.06303958,1.089090379,140,20
5/21/2014,0.06,12.26859184,8.11102178,-14.57724848,28.21582934,1.085966711,141,21
5/22/2014,0.06,12.25923746,8.111996971,-14.65514342,28.36776761,1.082846657,142,22
5/23/2014,0.06,12.24990483,8.112970052,-14.73239866,28.51885577,1.079730224,143,23
5/24/2014,0.06,12.24059395,8.113941023,-14.8090155,28.66909521,1.07661742,144,24
5/25/2014,0.06,12.23130479,8.114909887,-14.88499523,28.81848732,1.073508254,145,25
5/26/2014,0.06,12.22203733,8.115876646,-14.96033916,28.96703346,1.070402732,146,26
5/27/2014,0.06,12.21279155,8.116841301,-15.03504859,29.11473503,1.067300864,147,27
5/28/2014,0.06,12.20356744,8.117803854,-15.1091248,29.26159341,1.064202656,148,28
5/29/2014,0.06,12.19436498,8.118764307,-15.18256911,29.40760999,1.061108118,149,29
5/30/2014,0.06,12.18518414,8.119722661,-15.2553828,29.55278614,1.058017256,150,30
5/31/2014,0.06,12.17602491,8.120678919,-15.32756718,29.69712325,1.054930078,151,31
6/1/2014,0.06,12.16688728,8.121633082,-15.39912354,29.8406227,1.051846593,152,1
6/2/2014,0.06,12.15777121,8.122585151,-15.47005319,29.98328588,1.048766808,153,2
6/3/2014,0.06,12.1486767,8.12353513,-15.54035742,30.12511417,1.045690732,154,3
6/4/2014,0.06,12.13960371,8.124483019,-15.61003752,30.26610894,1.042618372,155,4
6/5/2014,0.06,12.13055225,8.12542882,-15.67909481,30.4062716,1.039549735,156,5
6/6/2014,0.06,12.12152228,8.126372536,-15.74753057,30.54560351,1.036484831,157,6
6/7/2014,0.06,12.11251379,8.127314167,-15.81534611,30.68410606,1.033423667,158,7
6/8/2014,0.06,12.10352675,8.128253716,-15.88254272,30.82178064,1.03036625,159,8
6/9/2014,0.06,12.09456116,8.129191184,-15.9491217,30.95862862,1.027312589,160,9
6/10/2014,0.06,12.08561698,8.130126573,-16.01508435,31.0946514,1.024262692,161,10
6/11/2014,0.06,12.07669421,8.131059886,-16.08043197,31.22985035,1.021216566,162,11
6/12/2014,0.06,12.06779283,8.131991123,-16.14516585,31.36422686,1.018174219,163,12
6/13/2014,0.06,12.0589128,8.132920286,-16.2092873,31.4977823,1.01513566,164,13
6/14/2014,0.06,12.05005413,8.133847378,-16.27279761,31.63051807,1.012100896,165,14
6/15/2014,0.06,12.04121678,8.134772399,-16.33569809,31.76243555,1.009069935,166,15
6/16/2014,0.06,12.03240074,8.135695353,-16.39799002,31.89353612,1.006042784,167,16
